,City,Country,Temperature,Max Temp,Humidity %,Cloudiness %,Wind Speed (mph),Latitude,Longitude
0,Saint Anthony,US,73.9,76.93,55,1,7.0,45.0205,-93.218
1,Mataura,NZ,49.48,49.48,71,100,6.2,-46.1927,168.8643
2,Coquimbo,CL,62.33,62.33,59,0,19.57,-29.9533,-71.3436
3,Albany,US,73.08,77.31,56,0,6.98,42.6001,-73.9662
4,Chui,UY,59.94,59.94,68,6,9.73,-33.6971,-53.4616
5,Bredasdorp,ZA,49.32,55.27,81,100,4.61,-34.5322,20.0403
6,Altona,DE,62.11,64.06,74,75,1.14,53.55,9.9333
7,Petauke,ZM,75.34,75.34,27,32,6.58,-14.2426,31.3253
8,Hermanus,ZA,55.8,55.8,74,97,13.11,-34.4187,19.2345
9,Rikitea,PF,74.5,74.5,73,100,6.58,-23.1203,-134.9692
10,Punta Arenas,CL,51.91,51.91,54,0,16.11,-53.15,-70.9167
11,Saint-Philippe,RE,69.76,71.19,79,31,14.88,-21.3585,55.7679
12,Kapaa,US,79.03,80.92,70,20,4.0,22.0752,-159.319
13,Eydhafushi,MV,82.44,82.44,73,78,13.09,5.1033,73.0708
14,Butaritari,KI,82.89,82.89,75,27,18.9,3.0707,172.7902
15,Nemuro,JP,58.46,58.46,81,19,8.08,43.3236,145.575
16,Ushuaia,AR,51.46,51.46,54,75,5.75,-54.8,-68.3
17,Hobart,AU,42.94,43.27,94,90,1.01,-42.8794,147.3294
18,Klaksvík,FO,52.72,52.72,91,71,18.01,62.2266,-6.589
19,Hamilton,US,80.55,83.71,60,90,3.0,39.1834,-84.5333
20,Marsá Maţrūḩ,EG,78.15,78.15,60,0,8.43,31.3525,27.2453
21,Sawtell,AU,62.62,62.62,77,75,13.8,-30.3833,153.1
22,George Town,MY,78.13,78.89,80,20,0.0,5.4112,100.3354
23,Kieta,PG,77.13,77.13,89,100,4.14,-6.2167,155.6333
24,Benguela,AO,72.52,72.52,90,71,4.09,-12.5763,13.4055
25,Vaini,TO,71.76,71.76,100,90,9.22,-21.2,-175.2
26,Jamestown,US,75.36,78.19,55,1,4.0,42.097,-79.2353
27,Noumea,NC,58.98,58.98,84,5,7.16,-22.2763,166.4572
28,Río Gallegos,AR,55.45,55.45,38,0,5.75,-51.6226,-69.2181
29,Cabedelo,BR,84.87,84.87,71,36,12.57,-6.9811,-34.8339
30,Ribeira Grande,PT,70.2,70.2,78,40,12.66,38.5167,-28.7
31,Mahébourg,MU,71.89,71.89,64,40,12.66,-20.4081,57.7
32,Qaanaaq,GL,28.54,28.54,78,96,10.04,77.484,-69.3632
33,San Ignacio,BZ,80.2,80.2,85,100,4.59,17.1561,-89.0714
34,Jiayuguan City,CN,59.83,59.83,72,97,10.85,39.8167,98.3
35,Saint Paul Harbor,US,54.91,54.91,88,90,4.61,57.79,-152.4072
36,Albemarle,US,82.27,85.98,42,1,5.75,35.3501,-80.2001
37,Dzhalil',RU,46.87,46.87,59,56,13.67,55.0239,52.7358
38,Cape Town,ZA,57.16,57.88,75,89,3.0,-33.9258,18.4232
39,Severo-Kuril'sk,RU,51.91,51.91,95,65,3.69,50.6789,156.125
40,East London,ZA,63.54,63.54,77,0,9.22,-33.0153,27.9116
41,Port Augusta,AU,40.71,50.14,85,45,4.83,-32.5,137.7667
42,St. George's,GD,85.68,85.68,74,75,16.11,12.0564,-61.7485
43,San Quintín,MX,73.78,73.78,72,70,8.68,30.4833,-115.95
